file,tag,android:id,android:text,android:hint,android:inputType,android:contentDescription,android:checked,android:enabled,android:maxLength,android:autofillHints
res/layout/activity_streak_earnback_progress.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,@7F130164,,,,,,,
res/layout/activity_streak_freeze_gift_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E56,@7F13040C,,,,,,,
res/layout/activity_trigger_notification_debug.xml,Spinner,@7F0A0BE7,,,,,,,,
res/layout/activity_trigger_notification_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A12FC,@7F131190,,,,,,,
res/layout/activity_trigger_notification_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A12FB,@7F131192,,,,,,,
res/layout/activity_trigger_notification_debug.xml,CheckBox,@7F0A045D,@7F13117A,,,,false,,,
res/layout/activity_trigger_notification_debug.xml,CheckBox,@7F0A045E,@7F13117C,,,,true,,,
res/layout/activity_trigger_notification_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A12FA,@7F131191,,,,,,,
res/layout/activity_welcome_registration.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03F1,@7F130164,,,,,,,
res/layout/activity_welcome_to_premium_animation.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0808,@7F13004F,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A13B3,@7F13132C,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E51,@7F13132E,,,,,,,
res/layout/activity_widget_debug.xml,Spinner,@7F0A1008,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A100B,@7F131331,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1009,@7F13132D,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A100A,@7F13132F,,,,,,,
res/layout/activity_widget_debug.xml,Spinner,@7F0A1329,,,,,,,,
res/layout/activity_widget_debug.xml,Spinner,@7F0A0ABA,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0ABE,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0ABF,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0AC0,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0AC1,,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0AC2,@7F13132A,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0ABD,@7F131331,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0ABB,@7F13132D,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0ABC,@7F13132F,,,,,,,
res/layout/activity_widget_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E58,@7F131330,,,,,,,
res/layout/activity_year_in_review_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0616,@7F130447,,,,,,,
res/layout/activity_year_in_review_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0C21,@7F130452,,,,,,,
res/layout/activity_year_in_review_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0C22,@7F130451,,,,,,,
